date,Solar (Rooftop) -  GWh,Solar (Utility) -  GWh,Wind -  GWh,Battery (Discharging) -  GWh,Gas (Reciprocating) -  GWh,Gas (OCGT) -  GWh,Gas (CCGT) -  GWh,Gas (Steam) -  GWh,Distillate -  GWh,Imports -  GWh,Exports -  GWh,Battery (Charging) -  GWh,Temperature Min - C,Temperature Mean - C,Temperature Max - C,Volume Weighted Price - AUD/MWh,Solar (Rooftop) Market Value - AUD,Solar (Utility) Market Value - AUD,Wind Market Value - AUD,Battery (Discharging) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (Steam) Market Value - AUD,Distillate Market Value - AUD,Imports Market Value - AUD,Exports Market Value - AUD,Battery (Charging) Market Value - AUD
2019-02-13 00:00,4.73,0.91,12.57,0.11,0.00,0.79,10.82,2.58,0.00,3.22,-0.04,-0.13,11.90,16.78,20.70,89.53,428631.20,84809.36,994194.12,10937.16,0.00,86290.09,1050249.96,241888.95,40.60,-310871.75,3951.56,9125.98
2019-02-14 00:00,5.76,1.20,6.24,0.10,0.00,0.60,15.44,2.84,0.00,3.97,-0.56,-0.10,11.70,17.60,22.40,114.81,563538.17,122544.38,724208.75,12598.48,0.00,72261.10,1737486.15,336560.14,51.56,-475098.91,56336.69,9834.40
2019-02-15 00:00,5.72,1.12,10.64,0.11,0.00,1.08,15.28,3.24,0.00,0.95,-1.15,-0.15,12.50,20.56,27.80,114.26,648615.64,130133.63,1189203.22,12957.17,0.00,124559.84,1742560.57,382965.75,50.62,-114929.18,126173.79,13919.07
2019-02-16 00:00,5.67,1.17,6.27,0.12,0.00,1.46,13.68,3.46,0.01,4.10,-0.02,-0.15,15.00,22.52,29.40,140.14,577488.38,125618.08,920027.13,19538.68,0.00,212490.87,1830055.82,511305.93,2832.64,-618733.07,1895.69,21294.68
2019-02-17 00:00,4.02,1.11,5.54,0.04,0.00,1.29,12.55,4.34,0.00,8.49,0.00,-0.11,15.80,25.56,34.60,122.68,468392.22,128995.64,589033.06,4445.27,0.00,183922.68,1551446.22,579716.51,54.83,-1052190.20,0.00,12614.61
2019-02-18 00:00,5.07,1.11,17.07,0.12,0.00,0.20,14.65,2.58,0.01,2.44,-4.92,-0.12,15.70,20.76,26.00,98.61,460193.37,104072.28,1635274.81,12436.97,0.00,24815.82,1440653.07,259918.39,699.34,-242946.87,442341.80,11019.76
2019-02-19 00:00,5.04,1.19,8.98,0.12,0.00,0.18,14.96,3.19,0.00,2.94,-0.76,-0.14,15.10,18.74,21.90,108.19,557955.74,133208.61,922548.79,14988.27,0.00,20445.54,1633506.93,358013.86,50.02,-331609.42,83095.63,12349.58
2019-02-20 00:00,4.95,1.19,7.49,0.08,0.00,0.46,15.62,5.28,0.00,2.90,-1.41,-0.11,14.50,18.57,22.80,113.41,518015.21,128196.27,839012.78,9080.34,0.00,54405.38,1756908.79,612513.24,50.22,-320980.51,138108.85,12225.87
2019-02-21 00:00,5.27,1.17,11.86,0.09,0.00,0.02,15.40,6.96,0.00,0.25,-3.24,-0.14,14.30,19.01,26.00,108.37,572188.21,128681.49,1272182.97,10128.07,0.00,2553.29,1664852.20,775807.70,49.02,-19987.05,352562.01,13300.04
2019-02-22 00:00,5.58,1.16,17.42,0.12,0.00,0.04,14.42,5.38,0.00,0.15,-4.80,-0.14,13.60,22.15,31.40,95.60,555351.83,115200.51,1632644.19,12023.77,0.00,3731.96,1385186.78,526665.82,42.01,-15818.77,453483.35,11692.29
