SETTLEMENTDATE,REGIONID,TOTAL_SENT_OUT_ENERGY,TOTAL_EMISSIONS,CO2E_INTENSITY_INDEX
2021-02-11,NSW1,162357.30104799,123933.34134043,0.7633
2021-02-11,QLD1,156622.25814125,118263.18446166,0.7551
2021-02-11,SA1,39357.39430899,6068.03268382,0.1542
2021-02-11,TAS1,25787.490944,0.0,0.0
2021-02-11,VIC1,149857.31541301,115858.48953834,0.7731
2021-02-12,NEM,511947.60232526,367027.97743153,0.7169
2021-02-12,NSW1,165808.362313,125090.49502823,0.7544
2021-02-12,QLD1,162187.18001025,119565.74159022,0.7372
2021-02-12,SA1,26845.622554,4668.33797531,0.1739
2021-02-12,TAS1,24375.327629,0.0,0.0
2021-02-12,VIC1,132731.10981901,117703.40283777,0.8868
2021-02-13,NEM,467572.1821545,340952.1009085,0.7292
2021-02-13,NSW1,153029.271097,109175.21634131,0.7134
2021-02-13,QLD1,158514.23125549,116717.42210975,0.7363
2021-02-13,SA1,19593.646179,3516.01754716,0.1794
2021-02-13,TAS1,16051.90052401,0.0,0.0
2021-02-13,VIC1,120383.133099,111543.44491028,0.9266
2021-02-14,NEM,445194.17284599,316823.88815375,0.7117
2021-02-14,NSW1,144505.708777,95003.21060607,0.6574
2021-02-14,QLD1,148831.96536,111262.22624473,0.7476
2021-02-14,SA1,20472.97202,3218.52227753,0.1572
2021-02-14,TAS1,14616.461137,0.0,0.0
2021-02-14,VIC1,116767.06555199,107339.92902542,0.9193
2021-02-15,NEM,485713.87220851,338973.48868706,0.6979
2021-02-15,NSW1,155861.294476,101170.4162962,0.6491
2021-02-15,QLD1,158930.0362655,119298.91225086,0.7506
2021-02-15,SA1,27896.140427,3513.64867085,0.126
2021-02-15,TAS1,16888.929302,0.0,0.0
2021-02-15,VIC1,126137.47173801,114990.51146915,0.9116
2021-02-16,NEM,508800.71860426,361524.22441356,0.7105
2021-02-16,NSW1,161201.78930701,109868.81505486,0.6816
2021-02-16,QLD1,158338.66797425,119565.64975911,0.7551
2021-02-16,SA1,25189.742984,6787.83933419,0.2695
2021-02-16,TAS1,24492.831641,0.0,0.0
2021-02-16,VIC1,139577.686698,125301.9202654,0.8977
2021-02-17,NEM,517926.81386778,353635.91219102,0.6828
2021-02-17,NSW1,158932.684784,104368.49074298,0.6567
2021-02-17,QLD1,154801.61906576,113946.70762041,0.7361
2021-02-17,SA1,32674.61465401,8626.71842358,0.264
2021-02-17,TAS1,30286.05293301,0.0,0.0
2021-02-17,VIC1,141231.842431,126693.99540405,0.8971
2021-02-18,NEM,535563.49314975,350883.3428704,0.6552
2021-02-18,NSW1,160681.482785,99882.75855649,0.6216
2021-02-18,QLD1,161087.51005975,121261.86356768,0.7528
2021-02-18,SA1,40769.076285,7712.50317774,0.1892
2021-02-18,TAS1,26813.55104,0.0,0.0
2021-02-18,VIC1,146211.87298,122026.21756849,0.8346
2021-02-19,NEM,551698.51911223,371142.91354307,0.6727
2021-02-19,NSW1,169397.579825,114048.56629697,0.6733
2021-02-19,QLD1,163049.82347323,127548.30943064,0.7823
2021-02-19,SA1,39181.548602,8973.48206096,0.229
2021-02-19,TAS1,27215.047548,0.0,0.0
2021-02-19,VIC1,152854.519664,120572.5557545,0.7888
2021-02-20,NEM,499270.12899848,370495.89395447,0.7421
2021-02-20,NSW1,151199.956794,115514.14074296,0.764
2021-02-20,QLD1,158350.62625449,124316.64171767,0.7851
2021-02-20,SA1,23509.48506399,4643.57934978,0.1975
2021-02-20,TAS1,31770.072111,0.0,0.0
2021-02-20,VIC1,134439.988775,126021.53214406,0.9374
2021-02-21,NEM,484093.39893575,361146.91132089,0.746
2021-02-21,NSW1,150093.00786,111087.13113358,0.7401
2021-02-21,QLD1,166317.12670474,122542.98372436,0.7368
2021-02-21,SA1,22651.90087,4142.08465195,0.1829
2021-02-21,TAS1,19785.24931201,0.0,0.0
2021-02-21,VIC1,125246.114189,123374.711811,0.9851
2021-02-22,NEM,525312.31834218,367299.42966025,0.6992
2021-02-22,NSW1,170840.06344,121495.97710492,0.7112
2021-02-22,QLD1,176174.50601318,129049.42147516,0.7325
2021-02-22,SA1,28061.458414,3406.95344617,0.1214
2021-02-22,TAS1,18313.547474,0.0,0.0
2021-02-22,VIC1,131922.743001,113347.077634,0.8592
2021-02-23,NEM,508681.05308735,359495.47283886,0.7067
2021-02-23,NSW1,161557.32900401,117503.91742926,0.7273
2021-02-23,QLD1,171979.16099335,125442.42100353,0.7294
2021-02-23,SA1,27194.620618,3245.77560181,0.1194
2021-02-23,TAS1,17494.708276,0.0,0.0
2021-02-23,VIC1,130455.23419599,113303.35880426,0.8685
2021-02-24,NEM,493891.57690146,360393.72495533,0.7297
2021-02-24,NSW1,164447.234215,118697.27881544,0.7218
2021-02-24,QLD1,158930.65798944,114690.32132362,0.7216
2021-02-24,SA1,24841.825685,3557.54327538,0.1432
2021-02-24,TAS1,17945.101492,0.0,0.0
2021-02-24,VIC1,127726.75752002,123448.58154089,0.9665
2021-02-25,NEM,502262.56911977,365854.28886263,0.7284
2021-02-25,NSW1,167733.68977901,124703.7077034,0.7435
2021-02-25,QLD1,159241.33391576,116244.46056759,0.73
2021-02-25,SA1,23314.10629,6807.70413203,0.292
2021-02-25,TAS1,21532.830639,0.0,0.0
2021-02-25,VIC1,130440.608496,118098.41645961,0.9054
2021-02-26,NEM,503039.05229026,376675.13189011,0.7488
2021-02-26,NSW1,167869.59045999,123448.77461905,0.7354
2021-02-26,QLD1,162324.10939524,121759.90073672,0.7501
2021-02-26,SA1,23976.39002301,8719.27357409,0.3637
2021-02-26,TAS1,20953.12373901,0.0,0.0
2021-02-26,VIC1,127915.83867301,122747.18296025,0.9596
2021-02-27,NEM,475649.37413873,372779.65699356,0.7837
2021-02-27,NSW1,156763.82311999,122313.68519366,0.7802
2021-02-27,QLD1,154024.89060374,118433.88640392,0.7689
2021-02-27,SA1,22153.128269,7031.05697352,0.3174
2021-02-27,TAS1,18272.90642701,0.0,0.0
2021-02-27,VIC1,124434.62571899,125001.02842246,1.0046
